"time","answer","id"
"1474383854891","getwd()","David Nitkin"
"1474383863679","ls()","David Nitkin"
"1474383886552","dir()","David Nitkin"
"1474476213904","swirl()","David Nitkin"
"1474476221646","library(swirl)","David Nitkin"
"1474476224531","swirl()","David Nitkin"
"1474476264394","1","David Nitkin"
"20","","David Nitkin"
"1474476274303","pi","David Nitkin"
"10","","David Nitkin"
"1474476285852","15","David Nitkin"
"1","","David Nitkin"
"1474476314337","?`","David Nitkin"
"`","","David Nitkin"
"1474476336890","seq(1, 20)","David Nitkin"
"1474476340402","play()","David Nitkin"
"1474476346268","seq(1,20)","David Nitkin"
"1474476350572","seq(20,1)","David Nitkin"
"1474476355061","seq(pi,4)","David Nitkin"
"1474476361571","nxt()","David Nitkin"
"1474476371526","play()","David Nitkin"
"1474476375097","?seq()","David Nitkin"
"1474476933142","dir()","David Nitkin"
"1474476938898","getwd()","David Nitkin"
"1474476960830","setwd(/Users/davidnitkin/Dropbox (Personal)/Github/Class 4 - Swirl)","David Nitkin"
"1474476970049","getwd()","David Nitkin"
"1474477001506","setwd(/Users/davidnitkin/Dropbox (Personal)/Github/Class 4 - Swirl)","David Nitkin"
"1474477014690","setwd(/Users/davidnitkin/Dropbox (Personal)/Github)","David Nitkin"
"1474477025791","?setwd()","David Nitkin"
"1474477037781","setwd(Users/davidnitkin/Dropbox (Personal)/Github/Class 4 - Swirl)","David Nitkin"
"1474477089942","library(swirl)","David Nitkin"
"1474477092478","swirl()","David Nitkin"
"1474477109809","seq(0, 10, by=0.5)","David Nitkin"
"1474477134469","my_seq <- seq(5, 10, length=30)","David Nitkin"
"1474477145371","length(my_seq)","David Nitkin"
"1474477177675","1","David Nitkin"
"length(my_seq)","","David Nitkin"
"1474477189986","seq(along.width = my_seq)","David Nitkin"
"1474477219089","seq(along.with = my_seq)","David Nitkin"
"1474477229165","seq_along(my_seq)","David Nitkin"
"1474477260514","rep(0, times = 40)","David Nitkin"
"1474477289498","rep((c(0, 1, 2), times = 10)","David Nitkin"
"1474477301216","rep(c(0, 1, 2), times = 10)","David Nitkin"
"1474477418401","rep(c(0, 1, 2), each = 10)","David Nitkin"
"1474477567725","length(rep(c(1,2,3) times = 40))","David Nitkin"
"1474477574038","length(rep(c(1,2,3), times = 40))","David Nitkin"
"1474477580842","rep(c(1,2,3), times = 40))","David Nitkin"
"1474477583740","rep(c(1,2,3), times = 40)","David Nitkin"
"1474477619895","getwd()","David Nitkin"
"1474477653513","H <-read.table(~/Users/davidnitkin/Dropbox (Personal)/Github/Class 4 - Swirl, fill=T, stringsAsFactors=F)","David Nitkin"
"1474477653515","names(H) <- c(time, answer)","David Nitkin"
"1474477653516","H$id <- YOUR NAME","David Nitkin"
"1474477653517","write.csv(H, file = lesson1.csv, row.names = FALSE)","David Nitkin"
"1474477686235","H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","David Nitkin"
"1474477686268","names(H) <- c(time, answer)","David Nitkin"
"1474477686269","H$id <- YOUR NAME","David Nitkin"
"1474477686269","write.csv(H, file = lesson1.csv, row.names = FALSE)","David Nitkin"
"1474477706063","H","David Nitkin"
"1474477801330","H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","David Nitkin"
